id	state	canonical_gate	source_path	gate_path	owner
storage-balanced-insert	subset	m3-write-balance	scljet/write.ssc	tests/conformance/scljet-balance-insert.ssc	scljet-production-completion
storage-reclaiming-delete	helper-only	-	scljet/write.ssc	tests/conformance/scljet-balance-delete-merge.ssc	scljet-production-completion
storage-freelist-reuse	open	-	scljet/journal.ssc	-	scljet-production-completion
storage-incremental-overflow	open	-	scljet/write.ssc	-	scljet-production-completion
storage-reserved-bytes	open	-	scljet/write.ssc	-	scljet-production-completion
storage-auto-vacuum	open	-	scljet/write.ssc	-	scljet-production-completion
storage-indexed-multitable-dml	subset	-	scljet/sql.ssc	tests/conformance/scljet-index-mutate.ssc	scljet-production-completion
storage-change-counter	open	-	scljet/journal.ssc	-	scljet-production-completion
rollback-image-codec	helper-only	m3-rollback	scljet/journal.ssc	tests/conformance/scljet-journal-recover.ssc	scljet-production-completion
rollback-reference-sharing	open	m3-reference-share	scljet/jvm-vfs.ssc	-	scljet-production-completion
sql-parser-curated-subset	subset	m4-parser-vm	scljet/sql.ssc	tests/conformance/scljet-sql-select.ssc	scljet-production-completion
sql-affinity-semantics	open	m4-affinity-semantics	scljet/sql.ssc	-	scljet-production-completion
provider-scljet	open	m4-provider	scljet/index.ssc	-	scljet-production-completion
wal-image-helpers	helper-only	m5-wal-protocol	scljet/wal.ssc	tests/conformance/scljet-wal.ssc	scljet-production-completion
wal-concurrency	open	m5-concurrency	scljet/wal.ssc	-	scljet-production-completion
wal-no-shm-refusal	open	m5-no-shm-refusal	scljet/pager.ssc	-	scljet-production-completion
sql-official-families	subset	m6-families	scljet/sql.ssc	tests/conformance/scljet-sql-right-full-join.ssc	scljet-production-completion
sql-advanced-schema	open	m6-advanced	scljet/sql.ssc	-	scljet-production-completion
extension-function-registry	open	m7-functions	scljet/index.ssc	-	scljet-production-completion
extension-virtual-tables	open	m7-virtual-tables	scljet/index.ssc	-	scljet-production-completion
extension-disk-profile	open	m7-disk-profile	scljet/index.ssc	-	scljet-production-completion
production-ci-matrix	open	m8-ci-matrix	.github/workflows/ci.yml	-	scljet-production-completion
production-benchmarks	open	m8-benchmarks	scripts/bench	-	scljet-production-completion
provider-sqlite-cutover	approval-gated	m8-provider-cutover	specs/scljet.md	-	user-decision
ipk-insert-update-affinity	implemented	-	scljet/sql.ssc,v1/runtime/std/scljet-jdbc-plugin/src/main/scala/scalascript/compiler/plugin/scljetjdbc/ScljetStatement.scala	tests/conformance/scljet-ipk-numeric-affinity.ssc,v1/runtime/std/scljet-jdbc-plugin/src/test/scala/scalascript/compiler/plugin/scljetjdbc/ScljetIpkAffinityDifferentialTest.scala	scljet-production-completion
scalar-null-three-valued-logic	subset	-	scljet/sql.ssc	tests/conformance/scljet-sql-null-semantics.ssc	scljet-production-completion
scalar-numeric-blob-comparison	subset	-	scljet/sql.ssc	tests/conformance/scljet-sql-value-compare.ssc	scljet-production-completion
schema-shared-model	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-explicit-unique-index	implemented	-	scljet/sql.ssc	tests/conformance/scljet-sql-unique-index.ssc	scljet-production-completion
constraint-column-table-primary-unique	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-not-null	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-default	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-check	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-foreign-key	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-conflict-actions	open	-	scljet/sql.ssc	-	scljet-production-completion
constraint-strict-generated	open	-	scljet/sql.ssc	-	scljet-production-completion
typed-sql	subset	-	scljet/typedsql.ssc	tests/conformance/scljet-typedsql-basic.ssc	scljet-production-completion
jdbc-portable	subset	-	scljet/jdbc.ssc	tests/conformance/scljet-jdbc-basic.ssc	scljet-production-completion
jdbc-jvm	subset	-	v1/runtime/std/scljet-jdbc-plugin/src/main/scala/scalascript/compiler/plugin/scljetjdbc/ScljetDriver.scala	v1/runtime/std/scljet-jdbc-plugin/src/test/scala/scalascript/compiler/plugin/scljetjdbc/ScljetDriverTest.scala	scljet-production-completion
prepare-compiled-program	open	-	scljet/sql.ssc	-	scljet-production-completion
planner-explain	open	-	scljet/sql.ssc	-	scljet-production-completion
execution-register-vm	open	-	scljet/sql.ssc	-	scljet-production-completion
result-streaming	open	-	scljet/jdbc.ssc	-	scljet-production-completion
transaction-savepoints	open	-	scljet/jdbc.ssc	-	scljet-production-completion
portable-text-projection	implemented	-	scljet/text.ssc	tests/conformance/scljet-portable-text.ssc	scljet-production-completion
standalone-resolver	subset	-	scljet/README.md	tests/conformance/scljet-module-contract.ssc	scljet-production-completion
address-uniml	external	-	scljet/address.ssc	-	uniml-production-completion
f-bytecode-capacity	external	-	BUGS.md	-	v2-f-bytecode-probe
